,match_id,player1,player2,winner,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,Speed_MPH,RallyCount,P1DistanceRun,P2DistanceRun,p1_sets_to_win,p2_sets_to_win,p1_games_to_win,p2_games_to_win
0,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
1,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,1,1,2,15,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
2,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,2,1,2,30,0,5,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
3,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,3,2,2,30,15,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
4,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,4,1,2,40,15,5,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
5,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,5,2,2,40,30,5,4,3,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
6,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,6,2,2,40,40,3,5,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,111,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
7,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,0,0,0,1,0,7,1,2,AD,40,4,1,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,18,18
8,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,1,0,0,1,1,8,1,2,0,0,10,1,5,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,17,18
9,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,1,0,0,2,0,9,1,1,15,0,11,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,3.374608739245364,8.81939244734759,8.8224091457075,3,3,17,18
10,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,1,0,0,2,0,10,1,1,30,0,14,1,7,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.374608739245364,8.81939244734759,8.8224091457075,3,3,17,18
11,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,1,0,0,2,0,11,1,1,40,0,16,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3.374608739245364,8.81939244734759,8.8224091457075,3,3,17,18
12,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,1,0,0,2,0,12,2,1,40,15,14,2,8,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,129,3.374608739245364,8.81939244734759,8.8224091457075,3,3,17,18
13,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,2,0,0,2,1,13,1,1,0,0,18,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,3.374608739245364,8.81939244734759,8.8224091457075,3,3,16,18
14,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,2,0,0,3,0,14,1,2,15,0,19,1,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,3.374608739245364,8.81939244734759,8.8224091457075,3,3,16,18
15,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,2,0,0,3,0,15,1,2,30,0,21,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3.374608739245364,8.81939244734759,8.8224091457075,3,3,16,18
16,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,2,0,0,3,0,16,1,2,40,0,22,1,12,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,97,3.374608739245364,8.81939244734759,8.8224091457075,3,3,16,18
17,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,3,0,0,3,1,17,1,2,0,0,28,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,99,3.374608739245364,8.81939244734759,8.8224091457075,3,3,15,18
18,2011-wimbledon-1105,Juan Martin Del Potro,Flavio Cipolla,1,1,3,0,0,4,0,18,1,1,15,0,29,1,14,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,130,3.374608739245364,8.81939244734759,8.8224091457075,3,3,15,18
